number,title,desc,level
11,พลังแห่งความขัดแย้งในตัวเอง,เป็นคนหลงตัวเองเป็นหลักชอบอวดอ้าง ทำอะไรชอบเข้าข้างตัวเอง มักถือพวกพ้องเป็นคนดื้อรั้นมาก จิตใจรวนเร เชื่อคนง่าย ระวังจะโดนทรยศหักหลังจากคนที่เราไว้ใจ,1
12,พลังแห่ง 2 บุคลิกในคนเดียว,หยิ่ง ลุ่มหลงมัวเมาหูเบา เจ็บไม่จำ เป็นคนเชื่อใจคนง่ายจึงมักถูกยุยงได้ง่าย ชีวิตเกิดอุบัติเหตุได้ง่าย มีโรคภัยไข้เจ็บเบียดเบียนอย่างเรื้อรัง หากหลงใครแล้วมักจะหลงอย่างไม่ลืมหูลืมตา,1
13,แห่งการเปลี่ยนแปลงทั้งดีและร้าย,ชีวิตมักเจอเรื่องทั้งเรื่องดี เรื่องร้ายอย่างฉับพลัน มีโชคอย่างไม่คาดคิดมาก่อนแต่ในขณะเดียวกันก็จะมีเหตุร้ายเกิดขึ้นอย่างไม่คาดฝันเช่นกัน ไม่ชอบให้ใครมาท้าทาย ไม่ชอบเดินตามร้อยเท้าใคร กล้าแบบไม่กลัวใคร จึงมักส่งผลให้เกิดอันตรายและล้าเหลวในบั้นปลาย,1
14,พลังแห่งมีสติปัญญาไหวพริบและมงคล,มีความรู้ ความสามารถดี ฉลาดมีไหวพริบ ตำแหน่งหน้าที่การงานก้าวไกล ผู้คนยอมรับ มีศีลธรรมอันดี รักความถูกต้องเที่ยงธรรม มีส่วนน้อยที่มีอุปสรรคบ้างซึ่งเป็นเรื่องธรรมดา แต่ส่วนมากดี มีความรุ่งเรื่องเจริญก้าวหน้ามาก,0
15,พลังแห่งเสน่ห์,เป็นตัวเลขที่ดี มีเพื่อนมาก คนรักใคร่มากมาย อารมณ์ดี จิตใจดี เข้าได้กับทุกคน มีศิลปะในการพูด ทำให้คนรักใคร่เกื้อหนุน ดวงชะตามีเกียรติยศชื่อเสียง มีโชคลาภ,0
16,พลังชีวิตที่ต้องฝ่าฟัน,มีความทุกข์ อุปสรรค ปัญหา อับโชค วิตมักจะประสบกับโชคร้ายมากกว่าความสำเร็จ แม้จะมีวาสนาสูง เกิดเป็นลูกเศรษฐี ลูกคนรวย ชีวิตก็ต้องมีอุปสรรค มีศัตรูมาก มักจะแพ้ภัยจากศัตรู หากมีความสำเร็จของชีวิตที่ยิ่งใหญ่ ต้องระวังจะพบจุดจบอย่างไม่คาดคิด ถูกคนปองร้าย ถูกอำนาจมืดคุกคาม จะตกต่ำในบั้นปลายของชีวิต เลขนี้ไม่เหมาะกับสุภาพสตรี จะทำให้ผิดหวังในเรื่องความรักทุกรูปแบบ เช่น แต่งงานช้า ไม่ได้แต่งงาน แต่งแล้วต้องเลิก ได้พ่อหม้าย เป็นสามี เป็นเมียน้อย กินน้ำใต้ศอกคนอื่น หรือเป็นหม้ายก่อนวัยอันควร,1
17,พลังแห่งความไม่แน่นอน,มีสติปัญญาแตกฉาน เข้าใจอะไรได้ง่าย ชีวิตมักจะพบกับอุปสรรคและความยุ่งยาก ในชีวิตอยู่บ่อย ๆ มักจะถูกผู้ใหญ่กดดัน ผู้ใหญ่มักจะให้โทษ ชีวิตขึ้น ๆ ลง ๆ ไม่แน่นอน ชีวิตสมรถไม่สมหวัง เป็นคนหูเบาเชื่อคนง่าย ค่อนข้างจะดื้อรั้นเอาแต่ใจตัวเอง,1
18,พลังชีวิตแห่งการเปลี่ยนแปลง,อยู่ไม่ติดที่ มีการโยกย้ายเปลี่ยนแปลงบ่อยๆ ไม่สมหวังในเรื่องคู่ครอง เลขนี้ไม่เหมาะสำหรับสุภาพสตรี ให้ระวังการทรยศหักหลังการถูกหลอกลวง,1
19,พลังแห่งความสำเร็จจากผู้อุปถัมภ์,ดวงค่อนข้างดี มีความสำเร็จและดีเด่นทางด้านการศึกษาและหน้าที่การงานสูงส่ง ไม่มีวันอับจนและตกอับ หมายเลขนี้ดีต่อชายร้ายต่อหญิง คือไม่เหมาะสำหรับผู้หญิง เพราะเป็นหญิงจะถูกกลั่นแกล้ง อาภัพรัก ชีวิตรักมักผิดหวัง หากเป็นชายจะมีความรุ่งโรจน์มาก,1
20,พลังแห่งความสำเร็จที่ต้องอาศัยผู้อื่นช่วยหนุนนำ,ไม่ชอบอยู่นิ่งอยู่กับที่ มีความทะเยอทะยาน เพ้อฝัน เลขนี้ไม่เหมาะกับสุภาพสตรี ชีวิตมักจะมีปัญหาเรื่องคู่ กดดันจนทำให้ต้องเป็นคนไร้คู่หรือไม่ก็เป็นเมียน้อย กินน้ำใต้ศอกผู้อื่น,1
21,พลังแห่งการพลิกผัน,เป็นคนมีเสน่ห์ เอาแต่ใจตัวเอง เป็นคนเด็ดเดี่ยวกล้าตัดสินใจ โดยที่ผู้อื่นคาดคิดไม่ถึง ชีวิตไม่ค่อยสมหวัง ชีวิตหาความแน่นอนไม่ได้เลย,1
22,พลังแห่งการเพ้อฝัน,เป็นคนเพ้อฝัน อารมณ์อ่อนไหว หูเบาเชื่อใจคนง่าย ถูกหลอกอยู่เสมอ,1
23,พลังเสน่ห์เมตตามหานิยม,เป็นคนมีอารมณ์แข็งกร้าวโทสจริต ไม่ยอมแพ้คน เป็นคนเจ้าชู้ หากเป็นชายมักมีเรื่องอื้อฉาวเกี่ยวกับเรื่องความรัก เป็นหญิงดี เพราะจะมีผู้ใหญ่ที่มีอิทธิพลคอยให้การช่วยเหลือสนับสนุนส่งเสริมให้ชีวิตประสบความสำเร็จเป็นอย่างดี,0
24,พลังแห่งมหามงคลความสำเร็จ,สมบูรณ์พูนผล ชีวิตไม่ยุ่งยาก เป็นคนฉลาดมีปฏิภาณไหวพริบ ไม่ถือตัว มีเพื่อนมากมาย เป็นคนดีมีเมตตา เอื้อเฟื้อช่วยเหลือผู้อื่น หากมุ่งมั่นที่จะเป็นดารา นักร้อง ศิลปินจะประสบความสำเร็จ มีชื่อเสียงโด่งดัง แต่อย่าประมาทกับการดำรงชีวิตให้ทำบุญบ้างดีเสริมดวงชะตาได้ดีมากๆ,0
25,พลังร้ายและพลังดี,ชีวิตมีอุปสรรคมาก กว่าจะประสบความสำเร็จต้องเจออุปสรรคมากมาย ถูกศัตรูปองร้าย ถูกกลั่นแกล้ง ถูกอำนาจมืดคุกคาม ถูกปล้น ถูกจี้ ชีวิตจะพบกับความผันผวนอย่างรุนแรง อาจถูกปองร้ายจนถึงแก่ชีวิต ต้องประสบกับการเปลี่ยนแปลง ทำให้ชีวิตขึ้น ๆ ลง ๆ หาความแน่นอนไม่ได้,1
26,พลังแห่งความไม่มั่นคง,มีความสำเร็จแต่ไม่ยั่งยืนถาวร ระวังเรื่องโลกีย์ไว้ให้มากๆ ระวังการผิดศีลธรรมเรื่องโลกีย์,1
27,พลังแห่งความมุ่งมั่น,ชีวิตประสบความสำเร็จอย่างงดงาม แต่ชีวิตมักจะมีความกดดันอย่างรุนแรง ทำให้เหมือนคนอมทุกข์ มีโรคภัยไข้เจ็บแทรกประจำตัว ถ้าเป็นชายมักผิดหวังเรื่องความรักบ่อยๆ ระวังมักจะมีโรคภัยไข้เจ็บอย่างเรื้อรัง,1
28,พลังแห่งความแปรปรวน,เสียมากกว่าดี เป็นคนไม่รอบคอบ เป็นคนเบื่อง่าย ไม่ไว้ใจผู้อื่น มักมีเรื่องทุกข์ใจ ไม่มีความสุขในชีวิตสมรส ต้องพลัดพรากจากกันอยู่กันคนละทิศละทาง,1
29,พลังความรุนแรง,ชีวิตมักจะหักกลาง ถูกปองร้ายจากศัตรู ระวังเรื่องอุบัติเหตุ ชีวิตอมทุกข์ ไม่ยอมคน มั่นใจในตนเอง เผด็จการ ภายนอกสดใส แต่ภายในอมทุกข์ ให้ระวังเพื่อนที่ไม่ซื่อ และเพศตรงข้าม,1
30,พลังแห่งอุบัติเหตุ,ชีวิตไม่หยุดนิ่งอยู่กับที่ แต่ทำอะไรต้องระวังมีสติให้มาก ชีวิตมีอุปสรรคบ้าง แต่ไม่มาก เป็นคนมีเพื่อนน้อย ค่อนข้างเงียบขรึม ไม่ชอบแสดงตัว ชอบใช้ชีวิตอยู่ตามลำพัง,1
31,พลังแห่งความไม่แน่นอนของโชคชะตา,ชีวิตในเบื้องต้นจะลำบาก แต่จะประสบความสำเร็จในบั้นปลาย แต่ระวังชีวิตมักจะหักกลาง ความรักหักกลางคัน ชีวิตสมรสไม่แน่นอน ระวังเรื่องอุบัติเหตุรถคว่ำ ถูกอาวุธ ถูกคนลอบทำร้าย การผ่าตัด และการถูกแย่งชิงตำแหน่งหน้าที่การงาน,1
32,พลังแห่งเจ้าชู้มีเสน่ห์,เป็นคนเจ้าชู้ มีเสน่ห์ มักต้นร้ายปลายดี ต้องระวัง ชีวิตมักจะมีอุบัติเหตุ มีโรคภัยไขเจ็บเบียดเบียนอย่างเรื้อรัง มีคนอุปถัมภ์,0
33,พลังความฉุนเฉียวเร้าร้อน,มีอารมณ์ฉุนเฉียว เร่าร้อน รุนแรง ทำอะไรชอบเอาแต่ใจตนเอง ระวังอันตรายแบบฉับพลัน มักจะประสบอุบัติเหตุอย่างร้ายแรง มักจะมีอันตรายเกี่ยวกับความเร็ว เช่น อุบัติเหตุทางรถยนต์ การทะเลาะวิวาท,1
34,พลังแห่งความรอบรู้ครุ่นคิด,เป็นคนมีสติปัญญาแตกฉาน ว่องไว มีปฏิภาณดีเป็นคนกล้าหาญ กล้าพูดกล้าทำ แต่ชีวิตมีอุปสรรคมาก เหน็ดเหนื่อยมาก ลำบากอยู่กับปัญหาตลอด แต่ก็เอาตัวรอดได้ ให้ระวังเรื่องอุบัติเหตุหรือการพลัดตกหกล้ม ถึงขั้นทำให้เป็นอัมพาตได้,0
35,พลังแห่งคุณและโทษ,ไม่ค่อยดีนัก ชีวิตมักอาภัพ กำพร้า ชีวิตบั้นปลายมีความสำเร็จดี มีผู้อุปถัมภ์ แต่ต้องระวังการหลงผิด มักหูเบาเชื่อใจคนง่าย จะมีคนชั่วร้ายเข้ามาสู่ชีวิต,1
36,พลังแห่งความรักความอบอุ่น,เป็นเลขที่หมายถึงความรัก ความสดชื่นของชีวิต ชีวิตจะประสบความสำเร็จเป็นอย่างดี มีมิตรสหาย มาก สติปัญญามีหัวทางประดิษฐ์คิดค้น ถ้าเป็นเด็กจะฉลาดเรียนเก่ง เป็นคนมีเสน่ห์ดึงดูดใจเพศตรงข้าม และเพศตรงข้ามมักให้,0
37,พลังความวิบัติ,ไม่ดีเลย ชีวิตมีแต่เรื่องขัดแย้ง ทะเลาะวิวาท โชคร้าย ผ่าตัด อุบัติเหตุ คู่ครองมีเหตุให้เป็นไป พรัดพราก ชีวิตมีมุมหักเหตลอดเวลาขึ้น ๆ ลง ๆ ไม่ราบรื่นนัก,1
38,พลังแห่งโมหะจริต,เป็นเลขร้าย ส่งผลในทางไม่ดี หมกมุ่นอยู่กับกามคุณ ทางทางผิด ติดเหล้ายา ติดการพนัน และอบายมุขทุกอย่าง เชื่อตัวเองมากเกินไป หมกมุ่นอยู่กับไสยศาสตร์ เวทมนต์คาถา ส่งผลร้ายต่อชีวิต ผิดทำนองคลองธรรม โกรธง่าย อารมณ์ฉุนเฉียว เป็นคนเจ้าอารมณ์,1
39,พลังแห่งความกดดัน,ชีวิตพบเจอเรื่องยุ่งยากบ่อยๆ แต่ก็มีมิตรสหายให้ความเกื้อกูลช่วยเหลือเป็นอย่างดี,1
40,พลังอำนาจมหัศจรรย์,ไม่เดือดร้อนอะไร เป็นคนใฝ่รู้ชอบค้นคว้าหาความรู้ ชอบสนุกสนาน สุขสบาย ชอบเดินทางไกลท่องเที่ยว ชอบสิ่งใหม่ๆ และแปลกๆ ไม่ชอบอยู่ติดที่ เป็นคนอ่อนไหวง่าย ดวงชะตาจัดว่าดี,0
41,พลังมหาจักรวาล,นี้เป็นเลขที่ดีมาก เป็นพลังมหาจักรวาล มีความรุ่งโรจน์ สุขสบาย เป็นคนฉลาด ชีวิตไม่ตกต่ำ มีคนคอยช่วยเหลือมากมาย มีคนอุปถัมภ์ เพื่อนมิตรสหายมาก บ่งถึงความสำเร็จในชีวิตเป็นอย่างดี ผู้ใหญ่มักจะให้การอุปถัมภ์ ปัญญาว่องไว มีสมองปราดเปรื่อง ตั้งแต่วัยเด็กเป็นคนเข้ากับมิตรสหายได้อย่างสนิท ควรเสริมชะตาด้วยการทำบุญ,0
42,พลังโรแมนติค,เป็นเลขมงคลยิ่ง 4 ดาวพุธ รวมกับ 2 ดาวจันทร์ รวมกันได้ 6 ดาวศุกร์ เป็นคนใจเย็น มีจินตนาการกว้างไกล อารมณ์ศิลปะ ชอบกวีนิพนธ์ มีจิตใจละเอียดอ่อน โรแมนติก มีความละมุนละไม ในสายเลือด,0
43,พลังวิปริต,มีศัตรูคอยกลั่นแกล้งอยู่เบื้องหลังตลอดเวลา มีอุปสรรค ความทุกข์ ความผิดหวังล้มเหลว,1
44,พลังส่งเสริมความสำเร็จ,เป็นเลขที่ส่งเสริมทุกด้านทั้งหน้าที่การงาน การเรียน ความรัก ส่งเสริมความสำเร็จทุกด้าน ไม่ลำบาก มีผู้ใหญ่คอยเกื้อหนุน แต่เลข ๔๔ นี้รวมกันได้ ๘ ทำให้หลงระเริง ระวังอย่าประมาทในการดำรงชีวิต ดวงชะตาถือว่าดี มีเพียงจุดเสียเล็กน้อยเท่านั้น จุดเสียคือคุณเป็นคุณใจน้อย เอาแต่ใจตัวเอง ถ้าแก้จุดนี้ได้จะดีมาก,0
45,พลังการสู้อีกครั้ง,ดวงดีมาก ดาว 4 (พุธ) กับดาว 5 (พฤหัส) รวมกันได้ 9 (ดาวเกตุ) การงานก้าวหน้า ปัญญาดีฉลาดหลักแหลม ใจสู้ไม่ถอย ก้าวหน้าตลอดเวลา มีคนคอยช่วยเหลือ โชคดีมีลาภ เจริญรุ่งเรือง ชีวิตมักจะมีโชคอยู่เนืองๆ มักจะประสบโชคอันไม่คาดหวังอยู่บ่อยๆ สติปัญญาแจ่มใสดีมาก และจะได้รับความร่วมมือจากทุกวงการเป็นอย่างดี,0
46,พลังแห่งโชค,มีความสุข มีความสำเร็จ มีเพื่อนมาก เสียอยู่นิดตรงที่เป็นคนใจอ่อน มักตกอยู่ใต้อิทธิพลคนอื่นได้ง่าย,0
47,พลังแห่งความเพียร,มักจะใจอ่อนเชื่อคนง่าย แต่ถ้าดื้อรั้นขึ้นมาก็ยากที่จะหยุดได้ ต้องระวังการหลงผิด ชีวิตกว่าจะประสบความสำเร็จต้องเหนื่อยและต้องใช้ความพยายามและอดทนสูง,1
48,พลังการหลง,ไม่ดีเลย ควรระวังอย่าเชื่อใจใครง่ายๆ จะถูกจูงหว่านล้อม หลงผิด ระวังจะประสบอุบัติเหตุ มักมีโรคภัยไข้เจ็บเบียดเบียน,1
49,พลังความยุ่งยาก,ไม่ค่อยดี มีความอับโชค ชีวิตมีอุปสรรค มักถูกอำนาจมืดคุกคาม ถ้าเป็นสุภาพสตรีจะถูกญาติสามีกดดันกลั่นแกล้ง,1
50,พลังแห่งปัญญาและความสามารถ,ดวงดีมาก โดยเฉพาะเรื่องปัญญา มีความสามารถ ดีเด่นทางทำงานต่างประเทศ มักพบคู่รักต่างแดน เป็นคนมีญาณพิเศษ มีบุญ ถ้าทำธุรกิจติดต่อกับชาวต่างชาติ เช่น ธุรกิจส่งออกเป็นต้นจะประสบความสำเร็จอย่างดี,0
51,พลังความสมบูรณ์,บวกกันได้ 6 ดาวศุกร์ ถือว่าเป็นเลขดีเลขหนึ่งเพราะเป็นดาวศุภเคราะห์ บ่งถึงความสำเร็จ มีมิตรสหายมาก มีรสนิยมในทางศิลป์ ฝีมือละเอียดอ่อนประณีต เลข 5 ดาวพฤหัส เลข 1 ดาวอาทิตย์ ธาตุไฟทั้งคู่ จึงส่งเสริมให้มีอำนาจ สติปัญญาแตกฉาน อำนวยความสำเร็จให้กับชีวิตเป็นอย่างดี เป็นเลขที่ดีมีมงคล มีความเจริญด้านการงาน ธุรกิจ การเงิน การเรียน เรื่องความรัก สารพัด ไม่ติดขัด มีผู้ใหญ่คอยช่วยเหลือ มีพรสวรรค์ทางสร้างสรรค์ ศิลปะ ดนตรี การพูด มีเสน่ห์ เป็นเลขที่สมบูรณ์ดียิ่ง,0
52,พลังการสนับสนุนค้ำจุน,มีความสำเร็จด้านการงานและความรักดี หากเป็นชายจะมีคุณสนับสนุนจากผู้หญิง หรือเจ้านายคนใกล้ชิด จะก้าวไกลทุกด้าน แต่ต้องอดทนฟันฝ่าอุปสรรคบ้าง หากเป็นหญิงจะมีอุปสรรคเพราะกรรมเก่า,0
53,พลังการหักเห,ชีวิตมีทั้งดีและร้ายปะปนกันไป ไม่มากไม่น้อย อย่าหูเบาเชื่อคนง่าย ให้ดำเนินชีวิตด้วยความไม่ประมาท ทำอะไรให้รอบคอบ จะเกิดผลดีและชีวิตจะประสบความสำเร็จ,0
54,พลังมหาราชาโชคความสำเร็จ,เป็นมงคลแก่ชีวิตยิ่งที่ได้ชื่อนี้ เพราะรวมกันได้ 9 พอดี เรื่องงาน ความรัก และอื่นๆ สำเร็จสมปรารถนา จะมีตำแหน่งสูง คนเคารพนับถือ ปัญญาดี เรียนอะไรก็แตกฉาน มีคนคอยค้ำจุนหนุนส่ง ไม่มีทางตกต่ำหรือขาดแคลน สิ่งศักดิ์สิทธิ์คุ้มครอง,0
55,พลังความสุขสมหวัง,นี้บ่งบอกถึงความสมบูรณ์พูนผล มีสุขสำเร็จดังใจหวัง การงานก็ตำแหน่งสูง ความรักดี มีแฟนฉลาดและดวงดี มีหลักฐาน ทำธุรกิจการค้าขายก็จะได้กำไรเพิ่มพูนยิ่ง คุณเป็นคนมีศีลธรรม ชอบความยุติธรรม คนรักมากมาย มีเสน่ห์ มีศีลธรรม จิตใจดีมีเมตตา ผู้คนรักใคร่ มีสติปัญญาเฉลียวฉลาด เป็นเลขที่มีความสุขสมบูรณ์มาก,0
56,พลังศิลป์และปัญญา,ดวงชะตาอยู่ในเกณฑ์ดีมาก เพราะมีดาวศุกร์กับพฤหัสบดี มีความโดดเด่นด้านปฏิภาณไหวพริบ อารมณ์ศิลป์ ทำอะไรมีความรอบคอบดี ประสบความสำเร็จทุกด้าน เช่น การเรียน การงาน การเงิน มองโลกในแง่ดี สู้อย่างไม่ถอย นำชีวิตไปสู่จุดหมายคือความสำเร็จได้ อีกอย่างเป็นคนมีเสน่ห์ มีน้ำใจ ผู้คนรักใคร่มากมาย,0
57,พลังความมั่นใจในตัวเองสูง,เป็นคนค่อนข้างจะดื้อรั้น ชีวิตไม่ค่อยแน่นอน ทำอะไรไม่ค่อยประสบความสำเร็จเพราะยกเลิกกลางครัน,1
58,พลังความลุ่มหลงงมงาย,ไม่ดีเลย หลงผิด เห็นกงจักรเป็นดอกบัว ออกนอกลู่นอกทางอยู่เสมอ,1
59,พลังแห่งขนบธรรมเนียมประเพณี,จิตใจดีมีเมตตาสูง มีศีลธรรม ดวงด้านความรักดี มีคนคอยช่วยเหลือ เจริญรุ่งเรือง,0
60,พลังความเพ้อฝันและจินตนาการ,เป็นคนรักสวยรักงาม ชอบความเป็นอยู่อย่างโอ่อ่าและเพ้อฝัน ทำอะไรมักเกินตัว ดีสำหรับหญิง แต่ไม่ดีสำหรับชาย เด็กผู้ชายทำให้จิตใจเบี่ยงเบนเป็นตุ๊ด (กระเทย) ได้งาย,0
61,พลังบุคลิกซ้อน,ไม่ค่อยดีนัก มีความขัดแย้งในตัวเอง เป็นเลขแห่งความทุกข์ อุปสรรค และปัญหาบั้นปลายชีวิต จะตกต่ำและเหน็ดเหนื่อย,1
62,พลังการเกื้อกูลและพลิกผัน,ไม่ดีเลย หลงผิดได้ง่าย เพราะปล่อยตัวปล่อยใจเกินไป ดีตรงที่มีคนคอยช่วยเหลืออุปถัมภ์ เป็นชายมีเสน่ห์ต่อเพศตรงข้าม,1
63,พลังความรักไม่มีสิ้นสุด,ดีมาก ไม่มีอุปสรรคและเรื่องยุ่งยาก ก้าวหน้าด้านการงาน การเรียนดี ดีเด่นเรื่องความรัก มีเพื่อนมาก ควรทำบุญเสริมดวงจะดีมากๆ และจะโชคดีตลอด,0
64,พลังความอ่อนไหวและการเปลี่ยนแปลง,เป็นคนมีรสนิยมสูง มีเสน่ห์ แต่ระวังจะถูกผู้อื่นหลอกลวง ชีวิตพบความสำเร็จ มีความสุข ความสะดวกของชีวิตพอสมควร,1
65,พลังความก้าวหน้าและเสน่ห์,เป็นเลขที่อยู่ในเกณฑ์ดี หากชื่อของคุณบวกรวมกับสกุลแล้วได้เลขนี้ พยากรณ์ได้เลยว่าเจ้าของชื่อเป็นคนฉลาดไหวพริบดี รักความก้าวหน้า จะได้รับความช่วยเหลือจากผู้ใหญ่หรือมีผู้คอยช่วยเหลืออยู่ตลอด กิจการและการงานราบรื่น เลขนี้จะดีเด่นเรื่องความก้าวหน้าและเรื่องของความรักมีเสน่ห์แก่เพศตรงข้ามมากเป็นพิเศษ,1
66,พลังแห่งอารมณ์และความรู้สึก,ไม่ดีเลย มอมเมา ลุ่มหลง ไม่พิจารณาไตร่ตรอง เป็นเลขอันตราย,1
67,พลังแห่งความผิดหวัง ทุกข์เศร้า,ชีวิตมีอุปสรรค ผิดหวัง ขัดแย้ง ครอบครัวแตกร้าว ตกต่ำในบั้นปลายของชีวิต,1
68,พลังแห่งอบายมุข,ไม่ดีเลย ลุ่มหลง มัวเมา หลงใหล ขาดสติในการพิจารณา อาจถูกชักจูงหรือถูกหลอกได้ง่าย,1
69,พลังความอ่อนไหว,เป็นคนใจอ่อน ชอบเพ้อฝัน ทำให้ตกอยู่ใต้อิทธิพลผู้อื่นได้ง่าย แต่ยังดีที่มีผู้ใหญ่คอยให้การอุปถัมภ์ค้ำชู จึงพอทำให้ชีวิตไปรอด,1
70,พลังแห่งเคราะห์กรรม,ไม่ดีเลย ให้ระวังความคิด อย่าหลงผิด ควรดำเนินชีวิตด้วยความรอบคอบไม่มาท เพราะเลขนี้ร้ายมาก บั้นปลายในชีวิตจะมีการฆ่าตัวตาย อาจจะเกิดขึ้นจากอารมณ์ชั่ววูบ ความกดดัน,1
71,พลังแห่งการถูกโจมตี,ไม่ดีเลย เป็นเลขบ่งบอกถึงความตกต่ำ ถูกใส่ร้าย คดีความ วิบัติ ฉิบหาย การหลงมัวเมา เรื่องความรักก็ไม่สมหวังทั้งสตรีและบุรุษ,1
72,พลังชะตาแข็ง,ชีวิตเจริญรุ่งเรืองดี แต่มักวุ่นวาย มักจะได้รับทุกข์อันเกิดจากเพศตรงข้าม มีเคราะห์บ่อยๆ และให้ระวังเรื่องโรคภัยไข้เจ็บ,1
73,พลังดาวบาปเคราะห์ที่ร้ายแรง,ไม่ดีเลย ระวังเรื่องที่เกิดขึ้นโดยฉับพลันอย่างไม่ทันตั้งตัว เช่น อุบัติเหตุ ผ่าตัด ล้มละลาย ชีวิตไม่ค่อยประสบความสำเร็จ วิธีแก้ควรปล่อยวางกับชีวิตบ้าง,1
